
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,0.000610352,-0.000152588,-2.42745,0.0553758,-0.0747579,0.0538228,0.0709703,-0.0928413,0.145013,-0.126682,-0.0847066,0.0043869,0.025444,0.0172806,0.00614166,0.0149155,0.0115967,0.0221634,0.0175095,-9.97986,0.0166321,-0.00144958,0.0123978,0.00671387,0.014267,-0.00343323,0.0170517,0.00747681
1,1,10.0097,0.000610352,0.000152588,-2.42623,0.055681,-0.0747579,0.054128,0.0712755,-0.0919257,0.145013,-0.124851,-0.0837911,0.00991821,0.0271606,0.0162506,0.010376,0.0157547,0.0131989,0.019989,0.0160599,-9.97986,0.0120163,-0.00255585,0.0112915,0.00366211,0.0143814,-0.00610352,0.0188065,0.00743866
1,2,10.0097,0,0.000152588,-2.42653,0.055681,-0.0735371,0.0544332,0.0709703,-0.090705,0.147149,-0.125156,-0.0816549,0.0094986,0.0215912,0.0119781,0.00782013,0.0155258,0.00923157,0.0182343,0.0178146,-9.97986,0.0180817,-0.00392914,0.015564,0.0019455,0.0126648,-0.00259399,0.0128555,0.00427246
1,3,10.0097,0.00183105,0.000610352,-2.42409,0.0565965,-0.0744527,0.0547383,0.0715807,-0.0913154,0.145929,-0.123325,-0.0816549,0.0110245,0.0258255,0.0168228,0.00968933,0.0188065,0.00789642,0.0254822,0.0198746,-9.97986,0.0176239,0.00038147,0.0173569,0.00728607,0.0144958,-0.00366211,0.0130463,0.00930786
1,4,10.0097,0.000305176,0,-2.42684,0.0553758,-0.0744527,0.0532125,0.0441149,-0.0971137,0.144403,-0.127598,-0.0822652,0.0131989,0.0204086,0.0192642,0.0126266,0.0168228,0.00904083,0.022049,0.0269699,-9.97986,0.0208664,-0.00335693,0.0162888,0.00499725,0.0172806,-0.00545502,0.0179672,0.0112534
1,5,6.49495,0.00152588,-0.00350952,-2.42653,0.0569017,-0.0744527,0.0516866,-0.0105116,-0.100776,0.145929,-0.130954,-0.0844015,0.0166702,0.021019,0.0211334,0.0144958,0.0196075,0.010643,0.0241852,0.0269318,-9.97986,0.0256348,-0.00102997,0.0172043,0.00720978,0.0178909,-0.00545502,0.0139236,0.00617981
1,6,-1.40208,0.00183105,-0.00457764,-2.42684,0.055681,-0.0744527,0.0538228,-0.0147841,-0.0980293,0.145929,-0.13126,-0.0822652,0.0111771,0.0234604,0.0204086,0.010376,0.0143433,0.00934601,0.0212097,0.0260162,-9.97986,0.0218201,-0.00640869,0.0162506,0.00442505,0.0172424,-0.00549316,0.0140381,0.00576019
1,7,-9.17247,0.000305176,-0.00488281,-2.42379,0.0565965,-0.0735371,0.0547383,-0.00623914,-0.0949775,0.14776,-0.129123,-0.0807394,0.0102997,0.022583,0.021019,0.0138855,0.0208664,0.0124741,0.0210571,0.0216293,-9.97986,0.0180435,-0.0019455,0.0158691,0.0082016,0.0180054,-0.00331879,0.0165558,0.00709534
1,8,-9.99003,0.000915527,-0.00274658,-2.42531,0.0562914,-0.0738423,0.0556539,0.0233629,-0.0910102,0.14776,-0.127598,-0.0816549,0.0069046,0.0228119,0.0175858,0.0114059,0.0189209,0.0104904,0.0219345,0.0204849,-9.97986,0.0177765,-0.000534058,0.0181198,0.0063324,0.0158691,-0.000534058,0.0172043,0.00892639
1,9,-9.99003,0.000915527,-0.00106812,-2.42531,0.0547655,-0.0735371,0.0553487,0.0480822,-0.090705,0.145624,-0.126377,-0.0825704,0.01194,0.0248337,0.0204086,0.0104523,0.0161743,0.0088501,0.0204468,0.0219727,-9.97986,0.0156784,0.000267029,0.0161362,0.0063324,0.001297,-0.0050354,0.016861,0.00762939
2,0,-9.99003,0.000915527,-0.000610352,-2.42623,0.0553758,-0.0744527,0.0568746,0.0630358,-0.0919257,0.144403,-0.125766,-0.0816549,0.00602722,0.0260925,0.0170517,0.0142288,0.0188828,0.0114059,0.0222015,0.0159073,-9.97986,0.0117493,-0.00358582,0.0130844,0.00484467,0.000991821,-0.00282288,0.015564,0.00606537
2,1,-9.99003,-0.000610352,0.0012207,-2.42684,0.0559862,-0.0747579,0.0553487,0.0908068,-0.0891792,0.145624,-0.12302,-0.0828756,0.0094223,0.022583,0.0159073,0.00617981,0.018959,0.0114441,0.0176239,0.00804901,-9.97986,0.00473022,0.000343323,0.015831,0.000572205,0.013237,-0.00610352,0.0130463,0.00423431
2,2,-3.86363,0.000305176,0.00473022,-2.42623,0.0538499,-0.0744527,0.0553487,0.140245,-0.0867378,0.144708,-0.12302,-0.0840963,0.00854492,0.0227356,0.0223923,0.0130081,0.018158,0.0128937,0.0244522,0.0132751,-9.97986,0.0121689,0.00370026,0.0175476,0.00938416,0.0178909,-0.00164032,0.0180817,0.00667572
2,3,3.1426,-0.0012207,0.00427246,-2.42806,0.0544603,-0.0768941,0.0553487,0.153368,-0.088874,0.144098,-0.121494,-0.0837911,0.0094223,0.0273514,0.0170898,0.00782013,0.0156784,0.00816345,0.0202179,0.00892639,-9.97986,0.00740051,0.0018692,0.0108337,0.00862122,0.0176239,-0.00423431,0.0153732,0.00495911
2,4,10.0097,-0.000915527,0.00442505,-2.42745,0.0541551,-0.0762837,0.0535176,0.157945,-0.0891792,0.144403,-0.120884,-0.0859274,0.00785828,0.0210953,0.0189209,0.00953674,0.0192642,0.00793457,0.0205231,0.0151062,-9.97986,0.0131226,0.00141144,0.0129318,0.00980377,0.0167084,-0.00267029,0.0150681,0.00682831
2,5,10.0097,0.000915527,0.00106812,-2.43172,0.0529344,-0.0762837,0.04894,0.102098,-0.0980293,0.144098,-0.125766,-0.0889791,0.00770569,0.0244522,0.0207138,0.0156403,0.018692,0.0115585,0.0187683,0.0157547,-9.97986,0.0125504,0.0012207,0.016098,0.00980377,0.012207,0.000190735,0.014534,0.00499725
2,6,10.0097,0.00152588,0.000152588,-2.42989,0.0535448,-0.0753682,0.0504659,0.0831774,-0.0977241,0.142267,-0.126682,-0.0874532,0.00740051,0.0264359,0.019722,0.0104141,0.017395,0.0094223,0.021286,0.0160599,-9.97986,0.0143814,0.00205994,0.0150681,0.00850677,0.0173569,-0.00038147,0.0159073,0.0044632
2,7,10.0097,0.00152588,0.000457764,-2.4302,0.0544603,-0.0759786,0.0516866,0.0746324,-0.0955879,0.144098,-0.126682,-0.0877584,0.0118256,0.0211334,0.0210953,0.0146103,0.016861,0.00915527,0.0245667,0.0162506,-9.97986,0.0137711,0.00331879,0.0142288,0.00713348,0.0126648,0.000495911,0.0156784,0.00656128
2,8,10.0097,0.0012207,0.000152588,-2.42806,0.0553758,-0.0753682,0.0532125,0.0718859,-0.0943672,0.144403,-0.126987,-0.085317,0.0133896,0.0255966,0.0205994,0.00904083,0.0159073,0.0111008,0.022049,0.0148392,-9.97986,0.0152206,0.00156403,0.0133514,0.0037384,0.017662,-0.00518799,0.0144958,0.00289917
2,9,10.0097,0.000305176,0,-2.42714,0.0544603,-0.0744527,0.0535176,0.0712755,-0.094062,0.144098,-0.126987,-0.0850118,0.00640869,0.0247955,0.0200653,0.0139236,0.0188828,0.00846863,0.0161743,0.019722,-9.97986,0.018959,-7.62939e-005,0.0144577,0.00896454,0.0165558,0.000724792,0.0139236,0.00602722
3,0,10.0097,-0.000915527,-0.000457764,-2.42806,0.0547655,-0.075063,0.0532125,0.0715807,-0.094062,0.146539,-0.126072,-0.0840963,0.00762939,0.0233841,0.0218582,0.0137329,0.0183487,0.00865936,0.0219727,0.0157166,-9.97986,0.0133514,-0.00312805,0.0155258,0.00892639,0.0191879,-0.00591278,0.0169373,0.00770569
3,1,10.0097,0,-0.000305176,-2.42714,0.0544603,-0.0741475,0.0538228,0.07036,-0.0919257,0.144708,-0.126682,-0.0834859,0.00907898,0.02388,0.0164795,0.0117874,0.0196457,0.00663757,0.0244904,0.0168228,-9.97986,0.0127411,0.00228882,0.010376,0.00431061,0.0139236,-0.00183105,0.0140381,0.00587463
3,2,10.0097,0.000610352,-0.000305176,-2.42531,0.0559862,-0.0729268,0.0544332,0.0709703,-0.0916206,0.145929,-0.124851,-0.0816549,0.0127792,0.0255203,0.022316,0.0152969,0.0143051,0.00812531,0.019722,0.019989,-9.97986,0.0141525,-0.00038147,0.0121307,0.00247955,0.018959,-0.00164032,0.0160599,0.00572205
3,3,10.0097,-0.0012207,0.000305176,-2.4247,0.0575121,-0.0738423,0.0532125,0.0709703,-0.0919257,0.147149,-0.124851,-0.0810445,0.00957489,0.0268555,0.0200272,0.0130844,0.0169754,0.00888824,0.0209808,0.0221634,-9.97986,0.0209427,0.00217438,0.0137329,0.00701904,0.0175095,-0.00209808,0.0152206,0.00492096
3,4,10.0097,0.000610352,0.000610352,-2.42714,0.0553758,-0.075063,0.0526021,0.042589,-0.095893,0.145624,-0.126987,-0.0831808,0.0140381,0.0227737,0.0221634,0.0178909,0.0176239,0.0135803,0.0234222,0.0230408,-9.97986,0.0243378,0.001297,0.0133514,0.00354767,0.0169754,-0.00366211,0.0200653,0.00526428
3,5,6.35518,0,-0.00335693,-2.42745,0.0572069,-0.0747579,0.0516866,-0.0105116,-0.101691,0.146234,-0.130039,-0.0831808,0.0108719,0.0234604,0.0186157,0.0103378,0.0165176,0.0125885,0.0183487,0.0252151,-9.97986,0.0199127,-0.00217438,0.0164795,0.00556946,0.0151443,-0.00595093,0.0189209,0.00621796
3,6,-1.41887,0,-0.00335693,-2.42684,0.0569017,-0.0735371,0.0526021,-0.0135634,-0.0965034,0.147149,-0.130649,-0.0822652,0.0102997,0.0241852,0.018425,0.0130081,0.0257111,0.00812531,0.0215149,0.0227737,-9.97986,0.022583,-0.000572205,0.0120163,0.00843048,0.0159073,-0.00377655,0.0190735,0.00831604
3,7,-9.17674,0.000915527,-0.00457764,-2.42348,0.0569017,-0.0729268,0.0556539,-0.00593396,-0.0943672,0.147149,-0.129429,-0.0813497,0.010376,0.0205994,0.0198746,0.00995636,0.0165939,0.00843048,0.0223541,0.0242996,-9.97986,0.0214386,-0.00167847,0.0124359,0.00720978,0.0182724,-0.00335693,0.0165939,0.00659943
3,8,-9.99003,0.000610352,-0.00228882,-2.42531,0.0565965,-0.0747579,0.0556539,0.0230577,-0.0919257,0.146539,-0.128208,-0.0813497,0.00782013,0.0244904,0.0212479,0.0113678,0.0162506,0.0146103,0.0250244,0.0246429,-9.97986,0.0180054,-0.00278473,0.0130844,0.0069809,0.0142288,-0.00499725,0.0143433,0.00457764
3,9,-9.99003,0,-0.000305176,-2.4247,0.0553758,-0.0747579,0.055959,0.0483873,-0.0900947,0.146234,-0.126072,-0.0822652,0.0094986,0.0232315,0.0203323,0.0146484,0.0192261,0.0116348,0.0230026,0.0180054,-9.97986,0.0185013,0.000610352,0.0148392,0.00907898,0.000648499,-0.000610352,0.015831,0.00694275
