
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,-9.99003,0.0012207,-0.000610352,-2.42623,0.0550706,-0.0756734,0.054128,0.0612047,-0.0916206,0.145929,-0.126682,-0.0828756,0.0120926,0.0187302,0.0195694,0.0110626,0.0177383,0.00946045,0.0178909,0.0094986,-9.97986,0.00686646,-0.00171661,0.0148392,0.00263214,0.0111008,-0.000267029,0.016861,0.00583649
1,1,-9.99003,0.000915527,0.00137329,-2.42623,0.0553758,-0.0753682,0.0550435,0.0914171,-0.0894843,0.145013,-0.12363,-0.0822652,0.00419617,0.0230026,0.0201035,0.0122452,0.0125504,0.0110626,0.0210571,0.0088501,-9.97986,0.0105286,-0.001297,0.0102615,0.00980377,0.0131989,-0.00171661,0.0125122,0.0043869
1,2,-3.90697,-0.00183105,0.0038147,-2.42653,0.0544603,-0.0768941,0.0550435,0.141161,-0.0858222,0.144403,-0.122104,-0.0844015,0.00968933,0.0222397,0.0162506,0.0127029,0.0173569,0.0109863,0.0230026,0.00747681,-9.97986,0.00934601,-0.0031662,0.0130081,0.00564575,0.0139236,-0.00522614,0.0153351,0.00267029
1,3,3.25887,0,0.00442505,-2.42776,0.0559862,-0.0759786,0.0535176,0.153368,-0.0873481,0.143182,-0.120884,-0.0837911,0.00869751,0.0231171,0.0139618,0.00720978,0.0146103,0.010376,0.0225449,0.0136948,-9.97986,0.0118256,-0.00453949,0.0130844,0.00778198,0.0166702,-0.00526428,0.0125885,0.00526428
1,4,10.0097,0.000305176,0.00427246,-2.42745,0.0538499,-0.0759786,0.0526021,0.155504,-0.090705,0.145013,-0.121494,-0.0862325,0.0111389,0.0244904,0.0142288,0.0102234,0.0164032,0.00728607,0.0232697,0.0159836,-9.97986,0.0139618,-0.0019455,0.0138092,0.00770569,0.0169754,-0.00530243,0.0139999,0.00469208
1,5,10.0097,0.000305176,0.00152588,-2.43111,0.0529344,-0.0762837,0.0495503,0.102403,-0.0974189,0.143182,-0.125461,-0.0886739,0.0119781,0.0231552,0.0154495,0.0087738,0.0180817,0.0101471,0.0231552,0.0159836,-9.97986,0.0172424,-0.000648499,0.0148392,0.0069046,0.0156403,-0.00511169,0.01297,0.0030899
1,6,10.0097,0.00305176,0.000305176,-2.4302,0.0532396,-0.0765889,0.0510762,0.0819567,-0.0971137,0.142877,-0.126987,-0.0883688,0.00850677,0.021553,0.0150299,0.00999451,0.0159836,0.00930786,0.0226974,0.0156403,-9.97986,0.0162506,0.000267029,0.0112152,0.00629425,0.0171661,-0.00595093,0.0141907,0.00682831
1,7,10.0097,-0.0012207,-0.000610352,-2.42898,0.0541551,-0.0762837,0.0519917,0.0743273,-0.0955879,0.143487,-0.126682,-0.0874532,0.0107193,0.0271988,0.019455,0.0105286,0.0200653,0.0107956,0.0246811,0.0185776,-9.97986,0.0146866,-0.00366211,0.01297,0.00511169,0.0164413,-0.0025177,0.013504,0.00785828
1,8,10.0097,-0.0012207,-0.000610352,-2.42989,0.0541551,-0.075063,0.0522969,0.0718859,-0.0943672,0.143792,-0.125766,-0.0856222,0.0128174,0.0252151,0.0201797,0.0087738,0.0181198,0.0107574,0.026207,0.0146484,-9.97986,0.0223923,-0.000839233,0.0108337,0.00610352,0.0197601,-0.00312805,0.0187683,0.00576019
