
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,2.66561,0.00152588,-0.0050354,-2.42592,0.0578172,-0.0735371,0.0532125,-0.00379773,-0.0971137,0.148065,-0.128818,-0.0825704,0.0139236,0.027771,0.0162888,0.0151825,0.0201797,0.0132751,0.0266266,0.0171661,-9.97986,0.0195313,0.00263214,0.0137329,0.000495911,0.018692,-0.00293732,0.0157547,0.00675201
1,1,-4.23869,0.000610352,-0.0050354,-2.42531,0.055681,-0.0744527,0.0544332,-0.0123427,-0.0965034,0.145013,-0.130649,-0.0834859,0.0119019,0.0244904,0.0188065,0.00892639,0.0201416,0.0110626,0.021286,0.0120926,-9.97986,0.0167465,0.00160217,0.015564,0.00637054,0.0185394,-0.00183105,0.0149918,0.00770569
1,2,-9.93358,0.000305176,-0.00366211,-2.4244,0.0565965,-0.0738423,0.0562642,0.0102404,-0.0934516,0.146844,-0.128208,-0.0792135,0.0128555,0.0251007,0.0232697,0.0164032,0.0185776,0.0104523,0.0210571,0.0120926,-9.97986,0.0113678,0.00297546,0.0152969,0.00675201,0.0156021,-0.00801086,0.0166702,0.00827789
1,3,-9.99003,0.000915527,-0.00167847,-2.42531,0.0569017,-0.0744527,0.0562642,0.0361803,-0.0913154,0.147149,-0.127903,-0.0810445,0.00785828,0.022316,0.018959,0.00663757,0.0181198,0.0088501,0.0222015,0.0094223,-9.97986,0.00408173,0.000762939,0.0165558,0.00377655,0.0115585,-0.00175476,0.0183868,0.00156403
1,4,-9.99003,0.000610352,-0.000305176,-2.42501,0.055681,-0.0735371,0.0538228,0.0544908,-0.090705,0.146234,-0.126072,-0.0828756,0.0110626,0.0252914,0.0202942,0.0143051,0.0191116,0.0126266,0.0250626,0.0121307,-9.97986,0.00888824,0.000648499,0.0156021,0.00595093,0.0105667,-0.0044632,0.0180435,0.00343323
1,5,-9.99003,0.00183105,0.000305176,-2.42592,0.0559862,-0.0756734,0.0562642,0.0724962,-0.090705,0.144403,-0.126377,-0.0831808,0.0128174,0.0218201,0.0173569,0.0121689,0.0127792,0.00926971,0.0228119,0.0114441,-9.97986,0.00679016,0.00488281,0.0139618,0.00652313,0.0176239,-0.00278473,0.0167084,0.0037384
1,6,-9.04765,-0.000610352,0.00167847,-2.42592,0.0544603,-0.0729268,0.0562642,0.120714,-0.0867378,0.144708,-0.121799,-0.0822652,0.00926971,0.0204086,0.0207138,0.0147247,0.0163651,0.0120544,0.0259781,0.0109863,-9.97986,0.0117111,-0.000114441,0.015564,0.00236511,0.0117493,-0.00190735,0.019455,0.00621796
1,7,-0.322065,0.000915527,0.00411987,-2.42837,0.0541551,-0.0747579,0.054128,0.142381,-0.0894843,0.143792,-0.122104,-0.0844015,0.0143433,0.0283432,0.018959,0.0124359,0.0151062,0.00980377,0.0211334,0.0133133,-9.97986,0.0119781,-0.00225067,0.0177002,0.00701904,0.015831,-0.00255585,0.020256,0.00537872
1,8,7.40041,0.000610352,0.00457764,-2.42837,0.0538499,-0.0753682,0.0544332,0.154894,-0.0891792,0.143182,-0.121799,-0.0847066,0.0128937,0.0247192,0.022049,0.0104523,0.0151443,0.0102234,0.0249863,0.0144196,-9.97986,0.0105667,0.00232697,0.014267,0.00499725,0.0159836,-0.000305176,0.0153732,0.00675201
1,9,10.0097,0.0012207,0.00366211,-2.43142,0.0529344,-0.0775044,0.0519917,0.122545,-0.095893,0.143182,-0.124241,-0.0877584,0.0117874,0.0238037,0.0191498,0.0147629,0.0162506,0.0141907,0.0238037,0.0175095,-9.97986,0.0120544,-0.00152588,0.015831,0.00320435,0.0168228,0.00038147,0.014534,0.00705719
2,0,10.0097,0.000915527,0.000762939,-2.43111,0.0538499,-0.0771993,0.0498555,0.0905016,-0.0977241,0.143792,-0.126377,-0.0889791,0.0102234,0.0239944,0.0240707,0.0104523,0.0183487,0.0133896,0.0215912,0.0151443,-9.97986,0.0172806,-0.00587463,0.0151443,0.00530243,0.017128,-0.00198364,0.0185394,0.0075531
