
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,0.00244141,0.00137329,-2.42623,0.0572069,-0.0741475,0.0544332,0.0706652,-0.0910102,0.146234,-0.123935,-0.0798238,0.085144,0.0309753,0.0368881,0.0417709,-0.00640869,-0.0757599,-0.0438309,-0.0142288,-9.97986,-0.153008,0.00209808,-0.208244,-0.0124359,0.297127,0.020256,0.0957108,-0.0357437
1,1,10.0097,0.0012207,0.00213623,-2.42623,0.0559862,-0.0741475,0.0550435,0.0587633,-0.0937568,0.145929,-0.126072,-0.0813497,0.0858307,0.0296783,0.0379562,0.038147,-0.00717163,-0.0770187,-0.0474548,0.0165558,-9.97986,-0.141754,0.00221252,-0.182381,0.00652313,0.305367,0.0108337,0.0982666,-0.0430298
1,2,10.0097,0.000610352,0.000457764,-2.42562,0.055681,-0.073232,0.0544332,0.0569322,-0.094062,0.144098,-0.124851,-0.0816549,0.040741,0.0296021,0.0339508,0.0417709,0.00278473,-0.0654602,-0.0479126,0.0491714,-9.97986,-0.121536,0.00106812,-0.16468,0.0171661,0.334091,0.0132751,0.08564,-0.0773239
1,3,10.0097,0.000305176,0.000762939,-2.42684,0.0559862,-0.0741475,0.0547383,0.0627306,-0.0934516,0.145929,-0.125766,-0.0816549,-0.000915527,0.0265121,0.0259781,0.0374603,0.0164413,-0.0660706,-0.0435257,0.0783539,-9.97986,-0.121078,0.000953674,-0.151291,0.0206375,0.357246,0.0179291,0.0744629,-0.139771
1,4,10.0097,0.000915527,0.000915527,-2.42562,0.0547655,-0.075063,0.0547383,0.0691393,-0.0922309,0.145624,-0.125156,-0.0831808,0.0141907,0.0278854,0.0279236,0.0338364,0.00778198,-0.0551224,-0.0408554,0.109825,-9.97986,-0.105667,-0.00724792,-0.13958,0.028038,0.36068,0.0164032,0.0674438,-0.165176
1,5,10.0097,0.000305176,0.000915527,-2.42745,0.0541551,-0.0744527,0.054128,0.0822618,-0.090705,0.145013,-0.125156,-0.0831808,0.0312805,0.0239944,0.0192642,0.0380325,-0.0159454,-0.0559616,-0.0382614,0.144424,-9.97986,-0.08255,-0.0163651,-0.127373,0.019455,0.356483,0.0105286,0.0574493,-0.171776
1,6,10.0097,0.00305176,0.000152588,-2.42745,0.0550706,-0.0762837,0.0529073,0.0801256,-0.0943672,0.143792,-0.126682,-0.085317,0.00965118,0.020256,0.0171661,0.0331497,-0.0403595,-0.0575638,-0.0292969,0.190735,-9.97986,-0.0837326,-0.0278854,-0.111694,0.0082016,0.36705,0.00354767,0.059166,-0.166702
1,7,10.0097,0.0012207,-0.000762939,-2.42989,0.0541551,-0.0756734,0.0519917,0.0728014,-0.0946723,0.145013,-0.126377,-0.0865377,-0.00686646,0.016861,0.00350952,0.038147,-0.052681,-0.0645828,-0.022316,0.226021,-9.97986,-0.0970459,-0.0138474,-0.11158,-0.0062561,0.367203,-0.00156403,0.0539017,-0.171509
1,8,10.0097,0.000915527,-0.00228882,-2.42928,0.0544603,-0.0744527,0.0513814,0.0712755,-0.0949775,0.143182,-0.126377,-0.0871481,-0.00179291,0.0154495,0.00453949,0.0290298,-0.0767136,-0.0666809,-0.00984192,0.262909,-9.97986,-0.0838089,0.00320435,-0.119858,-0.0271606,0.358658,-0.00957489,0.0477982,-0.208015
