
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,0,0.000152588,-2.42684,0.0553758,-0.075063,0.0516866,0.0752428,-0.0952827,0.143487,-0.127292,-0.0862325,0.0154877,0.0260544,0.0209427,0.00999451,0.0152206,0.0111771,0.0242615,0.0204086,-9.97986,0.0216675,-0.00305176,0.0142288,0.00770569,0.0178528,0.000190735,0.0165939,0.00583649
1,1,10.0097,0.000610352,0,-2.42684,0.0544603,-0.075063,0.0532125,0.0740221,-0.094062,0.144708,-0.126072,-0.085317,0.0120163,0.0260544,0.0188446,0.0109863,0.0202179,0.00991821,0.020752,0.0181198,-9.97986,0.0134277,-0.00534058,0.0118637,0.00621796,0.0151443,0.000114441,0.0148773,0.00839233
1,2,10.0097,0.000610352,-0.000457764,-2.42776,0.055681,-0.075063,0.0526021,0.0712755,-0.0937568,0.146539,-0.125766,-0.0850118,0.0101471,0.024147,0.0151443,0.00881195,0.0174332,0.00720978,0.0179672,0.0167084,-9.97986,0.0140762,-0.00423431,0.0134277,0.0075531,0.0147247,0.000648499,0.0139236,0.00968933
1,3,10.0097,0.000610352,0.000915527,-2.42592,0.055681,-0.0741475,0.054128,0.0718859,-0.0931465,0.146234,-0.125156,-0.0828756,0.00923157,0.0237656,0.0173187,0.0120163,0.0191116,0.0123978,0.0223923,0.0183105,-9.97986,0.0134659,-0.00347137,0.0163651,0.00556946,0.0185394,-0.000991821,0.0151825,0.00671387
1,4,10.0097,0.0012207,0,-2.42501,0.0547655,-0.0738423,0.0544332,0.0712755,-0.0922309,0.146539,-0.125156,-0.0819601,0.00888824,0.0243759,0.0173569,0.016861,0.019455,0.00553131,0.0180054,0.0149918,-9.97986,0.0136185,-0.00389099,0.0129318,0.00392914,0.0204086,-0.00324249,0.0128555,0.0103378
1,5,10.0097,0.00183105,-0.000152588,-2.42592,0.0578172,-0.073232,0.0550435,0.0712755,-0.0919257,0.147149,-0.124241,-0.0813497,0.0120926,0.0205231,0.0188446,0.0104523,0.017395,0.0138474,0.0248718,0.0114441,-9.97986,0.0158691,-0.00556946,0.00934601,0.0102615,0.0163269,-0.00522614,0.0140381,0.00770569
1,6,10.0097,0.000305176,-0.00183105,-2.42592,0.0565965,-0.0738423,0.0538228,0.0319078,-0.0980293,0.145013,-0.126987,-0.0828756,0.0109863,0.0260162,0.0157928,0.0139618,0.018425,0.00930786,0.022316,0.0199127,-9.97986,0.0153351,-0.00205994,0.0133133,0.00617981,0.0137711,-0.00457764,0.0133133,0.00595093
1,7,5.0237,0.000915527,-0.00305176,-2.42653,0.0550706,-0.0729268,0.0516866,-0.00684949,-0.0995551,0.145929,-0.130344,-0.0834859,0.0105667,0.0263214,0.0180817,0.014267,0.0185776,0.0127029,0.0255966,0.0192642,-9.97986,0.0151062,-0.00190735,0.00907898,0.00602722,0.0138092,-0.00545502,0.0144196,0.00759125
1,8,-3.78093,0.0012207,-0.00411987,-2.4244,0.0565965,-0.0738423,0.054128,-0.00990125,-0.0968086,0.147149,-0.129429,-0.0813497,0.00713348,0.0227737,0.0171661,0.0162506,0.0121689,0.0127411,0.0196457,0.0124741,-9.97986,0.0149918,-0.00350952,0.0141907,0.00911713,0.0118256,-0.00797272,0.0130081,0.00514984
1,9,-9.99003,-0.000610352,-0.00427246,-2.4247,0.0569017,-0.0735371,0.054128,-0.0141737,-0.0949775,0.145624,-0.130039,-0.0816549,0.0063324,0.0260544,0.0177383,0.0125885,0.0157547,0.0133133,0.0260544,0.0164032,-9.97986,0.0137711,-0.00198364,0.0119019,0.00923157,0.0121307,-0.00236511,0.0157928,0.0019455
2,0,-9.99003,0.00274658,-0.00198364,-2.4247,0.0565965,-0.073232,0.0553487,0.037401,-0.0903999,0.145929,-0.126377,-0.080129,0.00782013,0.0253677,0.0213242,0.0121307,0.0167084,0.0115204,0.0205612,0.0182343,-9.97986,0.0140762,0.00202179,0.0125504,0.0112152,-0.0133514,0.000152588,0.0155258,0.00606537
2,1,-9.99003,0.00152588,-0.000915527,-2.42562,0.0553758,-0.075063,0.0553487,0.0557115,-0.0900947,0.146539,-0.125461,-0.0807394,0.00938416,0.0240707,0.0198364,0.0114441,0.0176239,0.0130844,0.0214386,0.0213623,-9.97986,0.0138474,0.00232697,0.0128555,0.00846863,-0.0106812,-0.00114441,0.015564,0.00499725
2,2,-9.99003,0.000305176,-0.000305176,-2.42592,0.0550706,-0.0747579,0.0532125,0.0627306,-0.0913154,0.146234,-0.126072,-0.0825704,0.0112915,0.0242615,0.0196075,0.0112534,0.0167465,0.00976563,0.0196457,0.0301361,-9.97986,0.0150299,-0.0012207,0.0128937,0.00537872,-0.0128174,-0.00244141,0.0137329,0.00656128
2,3,-9.99003,0.000915527,0.000305176,-2.42837,0.0547655,-0.0747579,0.0529073,0.0663927,-0.0931465,0.145013,-0.126377,-0.0840963,0.00858307,0.0291061,0.0188828,0.0110245,0.0172424,0.00656128,0.0166321,0.0296021,-9.97986,0.0182343,0.000686646,0.0128174,0.00839233,-0.00865936,-0.000495911,0.0144196,0.00747681
2,4,-9.99003,0.00152588,0.00350952,-2.42562,0.0544603,-0.0756734,0.0568746,0.135668,-0.0839912,0.146234,-0.121799,-0.0816549,0.0117111,0.0242615,0.0199127,0.00671387,0.0175476,0.0106049,0.0152588,0.029335,-9.97986,0.0192261,-0.0030899,0.0121689,0.00724792,0.0147629,-0.0025177,0.0125122,0.00392914
2,5,-2.72899,0,0.00320435,-2.42745,0.0538499,-0.075063,0.0556539,0.145128,-0.0876533,0.145318,-0.121494,-0.0844015,0.00701904,0.0292206,0.0234985,0.00717163,0.0173569,0.0146484,0.0130081,0.0286865,-9.97986,0.0162888,0.000991821,0.0150681,0.00926971,0.0170517,-0.00228882,0.0138855,0.00679016
2,6,5.20192,-0.0012207,0.00457764,-2.42745,0.050493,-0.0762837,0.054128,0.148485,-0.0903999,0.143792,-0.12241,-0.0862325,0.00919342,0.0259018,0.0203323,0.00823975,0.0168991,0.00968933,0.00995636,0.0274277,-9.97986,0.00705719,0.00663757,0.0157166,0.00827789,0.0142288,-0.00564575,0.0144196,0.00808716
2,7,10.0097,0,0.00305176,-2.42928,0.0535448,-0.0762837,0.0516866,0.142687,-0.0937568,0.142267,-0.12241,-0.0874532,0.00888824,0.0280762,0.0218964,0.00846863,0.0182343,0.00705719,0.0141144,0.0198364,-9.97986,0.0109863,0.00980377,0.0154495,0.00694275,0.0163269,-0.000534058,0.014534,0.00476837
2,8,10.0097,0.00183105,0.00152588,-2.43264,0.0535448,-0.0765889,0.050771,0.0959947,-0.0965034,0.142877,-0.126072,-0.0877584,0.0130463,0.0273895,0.0203705,0.0102615,0.0139999,0.00675201,0.0111389,0.0113297,-9.97986,0.0182343,0.00766754,0.0150681,0.00434875,0.0162888,-0.00209808,0.0167847,0.00602722
2,9,10.0097,0,0.000762939,-2.42959,0.0520189,-0.0771993,0.050771,0.080736,-0.0977241,0.143487,-0.126377,-0.0868429,0.0125504,0.0279999,0.0227356,0.0148773,0.019722,0.0127029,0.0156784,0.00778198,-9.97986,0.0119781,0.0104523,0.0134659,0.00598907,0.0157928,-0.00240326,0.0164795,0.00522614
3,0,10.0097,0.0012207,0,-2.42684,0.0541551,-0.0759786,0.0519917,0.0749376,-0.0949775,0.143487,-0.127292,-0.0859274,0.0100708,0.0272369,0.0137711,0.0111771,0.018692,0.00953674,0.0148773,0.0075531,-9.97986,0.0193024,0.00324249,0.0143051,0.00610352,0.0156021,0.000915527,0.0149918,0.00530243
3,1,10.0097,0.000610352,0,-2.42806,0.0550706,-0.0747579,0.0526021,0.072191,-0.095893,0.145318,-0.126682,-0.0856222,0.00965118,0.0224304,0.0153732,0.0149918,0.0178528,0.00915527,0.0172806,0.00743866,-9.97986,0.0172806,0.00247955,0.015831,0.00431061,0.0135422,-0.00236511,0.0140762,0.00850677
3,2,10.0097,-0.000305176,0.000457764,-2.42684,0.0553758,-0.075063,0.0535176,0.0712755,-0.0928413,0.145929,-0.125461,-0.0850118,0.010376,0.0260925,0.0162506,0.0114441,0.017395,0.00587463,0.0173187,0.00843048,-9.97986,0.0114059,-0.000457764,0.0155258,0.00846863,0.0199509,-0.00602722,0.0130081,0.00728607
3,3,10.0097,-0.0012207,0,-2.42714,0.0553758,-0.0744527,0.0535176,0.0728014,-0.0925361,0.145013,-0.124851,-0.0828756,0.0069046,0.0232315,0.0137711,0.00995636,0.0144577,0.00728607,0.0200272,0.00988007,-9.97986,0.0179291,-0.00492096,0.0129318,0.00751495,0.0159073,-0.00991821,0.015831,0.00576019
3,4,10.0097,0.00183105,0.000305176,-2.4247,0.0565965,-0.0735371,0.0535176,0.0718859,-0.0916206,0.146539,-0.124851,-0.0822652,0.00827789,0.0272751,0.017128,0.00823975,0.0157166,0.0043869,0.0218201,0.0171661,-9.97986,0.0173569,-0.00423431,0.0148773,0.00782013,0.013504,-0.0130463,0.0125504,0.00312805
3,5,10.0097,0.000305176,0.000152588,-2.42623,0.055681,-0.0729268,0.0547383,0.072191,-0.0922309,0.14776,-0.124546,-0.0816549,0.0104141,0.0258255,0.0136566,0.00469208,0.0141907,0.0112152,0.0245667,0.0168991,-9.97986,0.0170517,0.00553131,0.0106049,0.00892639,0.0152206,-0.0197601,0.0167084,0.00740051
3,6,10.0097,0.000915527,-0.000915527,-2.42714,0.0550706,-0.0741475,0.0522969,0.032213,-0.0968086,0.145929,-0.126987,-0.0844015,0.00610352,0.0260925,0.0134659,-0.00217438,0.0156021,0.0069046,0.0216675,0.0130081,-9.97986,0.0145721,0.00656128,0.0128937,0.00770569,0.0152588,-0.0227737,0.0151443,0.00751495
3,7,5.06398,-0.000610352,-0.00305176,-2.42653,0.0562914,-0.0738423,0.0519917,-0.00562879,-0.0983344,0.145318,-0.129429,-0.0834859,0.0139236,0.0247574,0.0165176,-0.00347137,0.0202942,0.0137711,0.0262833,0.0154495,-9.97986,0.0153351,0.0179672,0.0174713,0.00141144,0.0133896,-0.0152969,0.0188446,0.00644684
3,8,-3.69182,0.000610352,-0.00411987,-2.42501,0.0559862,-0.0735371,0.054128,-0.0108168,-0.0971137,0.146844,-0.130649,-0.0816549,0.00808716,0.0243759,0.0163269,-0.00488281,0.0187302,0.00808716,0.0273895,0.0124359,-9.97986,0.0152969,0.00919342,0.0130463,0.00713348,0.0174332,-0.00953674,0.0149536,0.00770569
3,9,-9.99003,0,-0.00411987,-2.42562,0.0559862,-0.0753682,0.0547383,-0.0153944,-0.095893,0.146539,-0.130649,-0.0810445,0.0124359,0.0241852,0.0197983,0.0131226,0.0164795,0.00606537,0.0300598,0.01297,-9.97986,0.0155258,-0.0063324,0.0172806,0.00846863,0.0163269,0.000953674,0.0139999,0.00823975
4,0,-9.99003,0.000305176,-0.00183105,-2.4244,0.0559862,-0.0738423,0.0568746,0.0361803,-0.0894843,0.146539,-0.126682,-0.080129,0.0106812,0.027504,0.016861,0.0266647,0.0168228,0.0118256,0.0267792,0.0232697,-9.97986,0.0183487,-0.00968933,0.0122833,0.00896454,-0.0062561,0.0037384,0.0177002,0.00392914
4,1,-9.99003,0.000610352,-0.000610352,-2.42592,0.055681,-0.0747579,0.0556539,0.0557115,-0.0900947,0.146234,-0.126377,-0.0810445,0.013504,0.0259399,0.0179672,0.0257492,0.0186539,0.0062561,0.0256348,0.0188446,-9.97986,0.015564,-0.0117111,0.0130463,0.00682831,-0.00343323,0.0107956,0.0168991,0.00919342
4,2,-9.99003,0.000915527,-0.000152588,-2.42653,0.055681,-0.0747579,0.0550435,0.0621202,-0.090705,0.143792,-0.126682,-0.0828756,0.0062561,0.0273514,0.0164032,0.0218964,0.0180054,0.00488281,0.0232697,0.0169754,-9.97986,0.0156021,-0.0166321,0.0127792,0.00782013,-0.00656128,0.0134277,0.0166702,0.00465393
4,3,-9.99003,-0.0012207,0.000152588,-2.42776,0.0559862,-0.0744527,0.0529073,0.0663927,-0.0928413,0.144403,-0.126987,-0.0840963,0.0126266,0.0237656,0.0225449,0.0214005,0.0166702,0.01091,0.0196075,0.0162888,-9.97986,0.0180435,-0.0146484,0.0130463,0.00709534,-0.0103378,0.00743866,0.0157547,0.00591278
4,4,-9.6992,0.00152588,0.00350952,-2.42653,0.0547655,-0.0741475,0.0565694,0.136583,-0.083686,0.145318,-0.122104,-0.0819601,0.0119019,0.0269699,0.0256729,0.0139618,0.0230026,0.00804901,0.0220871,0.018959,-9.97986,0.0195313,-0.00892639,0.0150681,0.00286102,0.0162125,0.00259399,0.0144577,0.00965118
4,5,-2.38505,0.000610352,0.00396729,-2.42684,0.0532396,-0.075063,0.0544332,0.145433,-0.0873481,0.144403,-0.121494,-0.0837911,0.00587463,0.0255585,0.0187683,0.01091,0.0209427,0.0044632,0.021553,0.0128937,-9.97986,0.0155258,-0.00522614,0.0133896,0.00663757,0.0163269,0.000534058,0.0173569,0.00591278
4,6,5.45278,0.000305176,0.00457764,-2.42806,0.0529344,-0.0759786,0.0535176,0.149401,-0.090705,0.145013,-0.122104,-0.0859274,0.0102615,0.0260925,0.0241089,0.00865936,0.0206375,0.0129318,0.0234222,0.0141525,-9.97986,0.0170517,-0.000228882,0.014534,0.00415802,0.0172806,0.000114441,0.0159836,0.00652313
4,7,10.0097,-0.000610352,0.00366211,-2.42959,0.0544603,-0.0765889,0.0519917,0.141161,-0.0931465,0.142877,-0.12241,-0.0880636,0.0117493,0.0282669,0.0228882,0.010643,0.0169373,0.0115585,0.0183868,0.0135422,-9.97986,0.0134277,-0.00759125,0.0147247,0.00461578,0.0177002,-0.00335693,0.0141144,0.00507355
4,8,10.0097,0.00183105,0.00106812,-2.43111,0.0532396,-0.0759786,0.0504659,0.0953844,-0.0968086,0.143487,-0.125766,-0.0883688,0.0106049,0.0247955,0.0214386,0.0177765,0.0200653,0.00804901,0.0157547,0.0167847,-9.97986,0.0149536,-0.00282288,0.0115585,0.0101089,0.0156403,-0.00488281,0.0147629,0.00610352
4,9,10.0097,0.00152588,0.000610352,-2.42928,0.0535448,-0.0765889,0.0516866,0.080736,-0.0968086,0.142877,-0.126682,-0.0877584,0.00888824,0.0292206,0.0229645,0.0170517,0.0178146,0.00686646,0.0204849,0.0174713,-9.97986,0.0140762,-0.00671387,0.0151825,0.00209808,0.0150681,-0.00244141,0.0175476,0.0110245
5,0,10.0097,0.00183105,-0.000305176,-2.42837,0.0538499,-0.0759786,0.0526021,0.0737169,-0.0952827,0.143487,-0.126072,-0.0871481,0.00747681,0.0251389,0.0268936,0.01091,0.0156021,0.0120163,0.0207901,0.0169754,-9.97986,0.0158691,-0.00366211,0.0141525,0.00637054,0.0105667,-0.00358582,0.0174713,0.00801086
5,1,10.0097,-0.000610352,0.000610352,-2.42776,0.0547655,-0.0762837,0.0532125,0.0728014,-0.0955879,0.145013,-0.126377,-0.0847066,0.0127029,0.0254059,0.0223923,0.0144196,0.0199127,0.0104141,0.0267792,0.0149536,-9.97986,0.0192261,-0.00450134,0.0118256,0.00999451,0.0134659,-0.00392914,0.0165176,0.00808716
5,2,10.0097,-0.0012207,0.000152588,-2.42653,0.0547655,-0.0738423,0.0526021,0.0709703,-0.0934516,0.145013,-0.126072,-0.0847066,0.0115967,0.0226593,0.0235367,0.00854492,0.0172043,0.00789642,0.0289917,0.0191879,-9.97986,0.0177002,-0.00240326,0.0106049,0.00679016,0.0111008,-0.00171661,0.0140762,0.00751495
5,3,10.0097,0.000305176,0.000610352,-2.42684,0.0550706,-0.0747579,0.0538228,0.0712755,-0.0919257,0.145318,-0.125461,-0.0831808,0.0106049,0.0270462,0.0242233,0.013504,0.0178528,0.00694275,0.0226212,0.0152206,-9.97986,0.0172806,0.000190735,0.010643,0.00801086,0.00801086,-0.00621796,0.0161362,0.0106049
5,4,10.0097,0.000305176,0.000457764,-2.42531,0.0569017,-0.0744527,0.0550435,0.0718859,-0.0925361,0.146844,-0.124546,-0.0816549,0.0106049,0.0252151,0.022049,0.00896454,0.0154495,0.00713348,0.024147,0.0167465,-9.97986,0.0151443,0.00453949,0.0124359,0.00640869,0.00850677,-0.00583649,0.0141907,0.00740051
5,5,10.0097,0.000915527,0.000457764,-2.42592,0.0565965,-0.0741475,0.0550435,0.0712755,-0.090705,0.146844,-0.124851,-0.0810445,0.00862122,0.026474,0.0251007,0.0113678,0.0149536,0.0117874,0.0234985,0.0207138,-9.97986,0.0154495,0.000648499,0.00900269,0.00564575,0.0127411,-0.00457764,0.0151443,0.00579834
5,6,10.0097,-0.0012207,-0.00198364,-2.42776,0.0541551,-0.0747579,0.0516866,0.0316027,-0.0971137,0.145318,-0.127598,-0.0828756,0.00835419,0.0266266,0.0191498,0.01091,0.0156784,0.0107574,0.0260162,0.0180054,-9.97986,0.0173569,-0.000724792,0.0166321,0.00785828,0.0170135,-0.00579834,0.018425,0.00587463
5,7,4.70143,-0.000305176,-0.00305176,-2.42623,0.0553758,-0.0744527,0.0526021,-0.00623914,-0.0983344,0.146234,-0.129123,-0.0834859,0.0120544,0.0235367,0.0146484,0.00881195,0.0194168,0.00904083,0.0257492,0.0182724,-9.97986,0.0147247,-0.00999451,0.0124741,0.00453949,0.0144958,-0.0062561,0.0153351,0.00556946
