
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,-0.000610352,0.00152588,-2.42867,0.0547655,-0.0756734,0.0532125,0.0666979,-0.0949775,0.145013,-0.128208,-0.0865377,-0.0359726,0.0301743,0.0229263,0.00595093,0.101967,0.00995636,-0.000953674,0.00217438,-9.97986,-0.0524521,0.0254059,0.054245,-0.0323486,0.00579834,0.0124359,-0.018158,0.0102615
1,1,10.0097,-0.0012207,0.00152588,-2.42898,0.0529344,-0.0762837,0.0526021,0.0688341,-0.0952827,0.143487,-0.126682,-0.0871481,-0.0886154,0.0318527,0.0299072,0.0139999,0.141907,0.00164032,-0.0246048,-0.00831604,-9.97986,-0.0289917,0.073204,0.0636673,-0.0125885,0.0220871,0.0130844,-0.0141525,-0.0100708
1,2,10.0097,0.000305176,0.000915527,-2.42867,0.0538499,-0.075063,0.0522969,0.0694445,-0.0943672,0.145013,-0.126377,-0.0859274,-0.130615,0.0424576,0.0323868,0.0154877,0.147934,-0.0119019,-0.0431061,-0.0168991,-9.97986,0.0223541,0.0745392,0.0579453,-0.0012207,0.0300598,0.0152969,-0.0127411,-0.0302887
1,3,10.0097,-0.000305176,0.00167847,-2.42653,0.0541551,-0.0744527,0.0544332,0.0709703,-0.0931465,0.145318,-0.126987,-0.0847066,-0.151253,0.0389481,0.0333786,0.0110245,0.136757,-0.0278091,-0.0596619,-0.00087738,-9.97986,0.0772095,0.0214386,0.0582504,0.0151062,0.0497055,0.00823975,-0.0128174,-0.0385666
1,4,10.0097,0.000915527,0.00244141,-2.42684,0.0547655,-0.0738423,0.0529073,0.072191,-0.0916206,0.145624,-0.126072,-0.0831808,-0.0751877,0.0360107,0.0363922,0.0100327,0.103264,-0.0275803,-0.0695038,0.0177002,-9.97986,0.100632,-0.0240326,0.0559616,0.0376129,0.0605392,0.00217438,-0.0180817,-0.0690079
1,5,10.0097,-0.000305176,0.00289917,-2.42592,0.0547655,-0.0756734,0.0522969,0.07036,-0.0928413,0.146234,-0.126377,-0.0828756,0.024147,0.0351334,0.0326538,0.0105286,0.0618744,-0.0380325,-0.0606918,0.0221252,-9.97986,0.0708771,-0.0107956,0.0431824,0.0708389,0.0547409,0.00583649,-0.0247192,-0.063858
1,6,10.0097,0.000305176,0.00305176,-2.42592,0.0559862,-0.0747579,0.0547383,0.0685289,-0.0928413,0.146234,-0.125156,-0.0813497,-0.018158,0.0378418,0.0366974,0.0119781,0.00247955,-0.0375366,-0.0469971,0.0172424,-9.97986,0.0218582,0.00354767,0.0378036,0.0941086,0.0398636,0.0116348,-0.0249481,-0.0390244
1,7,10.0097,-0.000915527,0.00198364,-2.4244,0.0575121,-0.0741475,0.0550435,0.0715807,-0.0913154,0.14837,-0.124851,-0.0810445,-0.0941467,0.0473404,0.0429916,0.016861,-0.0630188,-0.033493,-0.0340271,-0.0038147,-9.97986,0.0150299,-0.00282288,0.0227737,0.114594,0.0334167,0.00679016,-0.0197601,-0.0271988
1,8,10.0097,0,0.00167847,-2.42501,0.0581224,-0.0744527,0.0547383,0.0724962,-0.0910102,0.14776,-0.12363,-0.080129,-0.0325394,0.0463867,0.0488281,0.0196457,-0.150223,-0.0399017,-0.0366974,-0.0184631,-9.97986,0.0334167,-0.0030899,0.00347137,0.130539,0.0388718,-0.00335693,-0.0154114,-0.00713348
